lat,lon,Band1
-20.883333333343643,140.53333333303075,-2741.414
-20.883333333343643,140.53749999969742,-2850.2212
-20.883333333343643,140.5416666663641,-2567.7917
-20.883333333343643,140.54583333303077,-2100.0784
-20.883333333343643,140.54999999969743,-1547.4299
-20.883333333343643,140.5541666663641,-1045.3738
-20.883333333343643,140.55833333303076,-735.11536
-20.883333333343643,140.56249999969745,-966.96155
-20.883333333343643,140.5666666663641,-1386.9548
-20.883333333343643,140.57083333303078,-1835.2507
-20.883333333343643,140.57499999969747,-2156.846
-20.883333333343643,140.57916666636413,-2270.8154
-20.883333333343643,140.5833333330308,-2224.719
-20.883333333343643,140.58749999969746,-1987.6913
-20.883333333343643,140.59166666636412,-1637.6742
-20.883333333343643,140.5958333330308,-1272.1626
-20.883333333343643,140.59999999969747,-950.17145
-20.883333333343643,140.60416666636414,-708.6248
-20.883333333343643,140.60833333303083,-541.04034
-20.883333333343643,140.6124999996975,-444.0773
-20.883333333343643,140.61666666636415,-425.8327
-20.883333333343643,140.62083333303082,-522.9306
-20.883333333343643,140.62499999969748,-664.369
-20.883333333343643,140.62916666636417,-801.57465
-20.883333333343643,140.63333333303083,-893.2968
-20.883333333343643,140.6374999996975,-915.8391
-20.883333333343643,140.6416666663642,-914.9156
-20.883333333343643,140.64583333303085,-907.7095
-20.883333333343643,140.6499999996975,-913.27856
-20.883333333343643,140.65416666636418,-945.03656
-20.883333333343643,140.65833333303084,-934.63916
-20.883333333343643,140.66249999969753,-959.3308
-20.883333333343643,140.6666666663642,-1000.60706
-20.883333333343643,140.67083333303086,-1021.38086
-20.883333333343643,140.67499999969755,-921.1371
-20.883333333343643,140.6791666663642,-840.46515
-20.883333333343643,140.68333333303087,-832.5349
-20.883333333343643,140.68749999969754,-891.35345
-20.883333333343643,140.6916666663642,-969.65625
-20.883333333343643,140.6958333330309,-824.8191
-20.883333333343643,140.69999999969755,-627.6712
-20.883333333343643,140.70416666636422,-378.92056
-20.883333333343643,140.7083333330309,-86.04029
-20.883333333343643,140.71249999969757,249.44019
-20.883333333343643,140.71666666636423,678.70123
-20.883333333343643,140.7208333330309,1102.0016
-20.883333333343643,140.72499999969756,1485.5686
-20.883333333343643,140.72916666636425,1807.9817
-20.883333333343643,140.7333333330309,2093.8076
-20.883333333343643,140.73749999969758,2180.0676
-20.883333333343643,140.74166666636427,2128.774
-20.883333333343643,140.74583333303093,1961.8042
-20.883333333343643,140.7499999996976,1662.3228
-20.883333333343643,140.75416666636426,1104.751
-20.883333333343643,140.75833333303092,499.23056
-20.883333333343643,140.7624999996976,-52.660698
-20.883333333343643,140.76666666636427,-479.93307
-20.883333333343643,140.77083333303094,-727.07764
-20.883333333343643,140.77499999969763,-756.2812
-20.883333333343643,140.7791666663643,-693.00793
-20.883333333343643,140.78333333303095,-627.35596
-20.883333333343643,140.78749999969762,-556.72485
-20.883333333343643,140.79166666636428,-448.6602
-20.883333333343643,140.79583333303097,-327.09558
-20.883333333343643,140.79999999969763,-273.04935
-20.883333333343643,140.8041666663643,-305.10025
