Lon,Lat,Mag,Grav_1vd
140.5323546,-20.88236365,723.244751,-2741.414063
140.5331879,-20.88236365,727.4836426,-2741.414063
140.5340212,-20.88236365,714.5910645,-2741.414063
140.5348545,-20.88236365,690.7927856,-2741.414063
140.5356878,-20.88236365,669.8754272,-2850.221191
140.5365211,-20.88236365,653.5713501,-2850.221191
140.5373544,-20.88236365,640.2349854,-2850.221191
140.5381877,-20.88236365,628.8323975,-2850.221191
140.539021,-20.88236365,619.5089111,-2850.221191
140.5398543,-20.88236365,611.9591064,-2567.791748
140.5406876,-20.88236365,606.1052856,-2567.791748
140.5415209,-20.88236365,600.4343262,-2567.791748
140.5423542,-20.88236365,592.2687378,-2567.791748
140.5431875,-20.88236365,577.5071411,-2567.791748
140.5440208,-20.88236365,558.0115356,-2100.078369
140.5448541,-20.88236365,540.7838135,-2100.078369
140.5456874,-20.88236365,525.0452271,-2100.078369
140.5465207,-20.88236365,505.8315735,-2100.078369
140.547354,-20.88236365,483.0770874,-2100.078369
140.5481873,-20.88236365,458.7922363,-1547.429932
140.5490206,-20.88236365,425.6273804,-1547.429932
140.5498539,-20.88236365,395.8838806,-1547.429932
140.5506872,-20.88236365,506.1323547,-1547.429932
140.5515205,-20.88236365,974.927063,-1547.429932
140.5523538,-20.88236365,1702.665649,-1045.373779
140.5531871,-20.88236365,2268.62793,-1045.373779
140.5540204,-20.88236365,2417.722656,-1045.373779
140.5548537,-20.88236365,2177.849121,-1045.373779
140.555687,-20.88236365,1762.218018,-1045.373779
140.5565203,-20.88236365,1354.469116,-735.1153564
140.5573536,-20.88236365,1033.516968,-735.1153564
140.5581869,-20.88236365,801.937561,-735.1153564
140.5590202,-20.88236365,643.8518066,-735.1153564
140.5598535,-20.88236365,550.6000977,-735.1153564
140.5606868,-20.88236365,500.6980896,-966.9615479
140.5615201,-20.88236365,458.1364746,-966.9615479
140.5623534,-20.88236365,425.6940918,-966.9615479
140.5631867,-20.88236365,410.1593018,-966.9615479
140.56402,-20.88236365,397.1961975,-966.9615479
140.5648533,-20.88236365,397.040802,-1386.954834
140.5656866,-20.88236365,409.9099121,-1386.954834
140.5665199,-20.88236365,419.9567871,-1386.954834
140.5673532,-20.88236365,441.5408325,-1386.954834
140.5681865,-20.88236365,496.4680481,-1386.954834
140.5690198,-20.88236365,578.7879639,-1835.250732
140.5698531,-20.88236365,648.6577148,-1835.250732
140.5706864,-20.88236365,662.2382202,-1835.250732
140.5715197,-20.88236365,612.9054565,-1835.250732
140.572353,-20.88236365,536.5278931,-1835.250732
140.5731863,-20.88236365,466.7203979,-2156.845947
140.5740196,-20.88236365,423.1132812,-2156.845947
140.5748529,-20.88236365,391.4593811,-2156.845947
140.5756862,-20.88236365,400.2001038,-2156.845947
140.5765195,-20.88236365,560.7324829,-2156.845947
140.5773528,-20.88236365,794.6876221,-2270.81543
140.5781861,-20.88236365,900.4440308,-2270.81543
140.5790194,-20.88236365,819.0510254,-2270.81543
140.5798527,-20.88236365,673.6746826,-2270.81543
140.580686,-20.88236365,577.8477173,-2270.81543
140.5815193,-20.88236365,496.2492676,-2224.718994
140.5823526,-20.88236365,419.6758728,-2224.718994
140.5831859,-20.88236365,379.6717834,-2224.718994
140.5840192,-20.88236365,398.1763306,-2224.718994
140.5848525,-20.88236365,436.6160889,-2224.718994
140.5856858,-20.88236365,462.2226562,-1987.691284
140.5865191,-20.88236365,495.5304871,-1987.691284
140.5873524,-20.88236365,576.5099487,-1987.691284
140.5881857,-20.88236365,742.1275635,-1987.691284
140.589019,-20.88236365,1031.843506,-1987.691284
140.5898523,-20.88236365,1426.619141,-1637.674194
140.5906856,-20.88236365,1707.89978,-1637.674194
140.5915189,-20.88236365,1632.765137,-1637.674194
